	City	Cloudiness	Country	Humidity	Lat	Lon	Max Temp	Wind Speed
190	Odaka	20	JP	100	37.52	140.86	39.2	6.93
191	Lagoa	0	PT	76	37.14	-8.45	51.8	5.82
192	Talnakh	0	RU	45	69.49	88.39	-28.65	3.11
193	Rudnogorsk	56	RU	76	57.27	103.75	6.91	6.02
194	Peoria	90	US	74	40.69	-89.59	41.0	3.36
195	Albany	90	US	85	42.65	-73.75	26.6	6.02
196	Narsaq	64	GL	42	60.91	-46.05	30.2	3.36
197	Kujalleq	88	GL	42	60.72	-46.03	30.2	3.36
198	Cape Town	20	ZA	77	-33.93	18.42	59.0	1.12
199	Omboue	20	GA	100	-1.57	9.26	80.39	4.23
200	Uni	92	RU	88	57.75	51.49	15.77	5.12
201	Tasiilaq	32	GL	85	65.61	-37.64	24.8	12.75
202	Luanda	75	AO	83	-8.83	13.24	75.2	9.17
203	Batagay	48	RU	0	67.65	134.64	-48.31	3.06
204	Areosa	0	PT	57	41.72	-8.86	48.2	2.24
205	Daru	0	SL	55	7.99	-10.85	69.19	6.8
206	Sao Felix Do Xingu	24	BR	95	-6.64	-51.99	75.4	1.88
207	Fajozes	0	PT	100	41.31	-8.72	39.2	3.36
208	Cidreira	0	BR	82	-30.17	-50.22	74.18	13.85
209	Torbay	90	CA	68	47.66	-52.73	26.6	24.16
210	Begowal	0	IN	77	31.67	75.63	39.53	2.89
211	Nurota	76	UZ	75	40.56	65.69	41.0	9.17
212	Ballinure	90	IE	100	51.89	-8.4	48.2	2.24
213	Zaoyang	68	CN	80	32.12	112.76	37.28	2.84
214	At-Bashi	0	KG	53	41.17	75.81	-9.97	2.1
215	Pella	1	US	85	41.41	-92.92	28.4	4.7
216	Dunedin	0	NZ	71	-45.87	170.5	69.64	4.63
217	Thinadhoo	0	MV	100	0.53	72.93	81.52	3.74
218	Carbonia	0	IT	93	39.17	8.53	46.4	8.05
219	Jamestown	0	AU	31	-33.21	138.6	85.75	12.35
220	Malanje	8	AO	87	-9.54	16.35	67.07	6.24
221	Milendella	0	AU	14	-34.85	139.16	84.2	12.75
222	East London	20	ZA	100	-33.02	27.91	69.86	5.75
223	Dingle	92	PH	97	11.0	122.67	76.21	17.72
224	Avarua	40	CK	61	-21.21	-159.78	80.6	17.22
225	Lucapa	36	AO	92	-8.42	20.74	63.11	2.73
226	La Rioja	0	AR	54	-29.41	-66.86	83.18	2.55
227	Bela	0	PK	80	26.23	66.31	41.74	2.33
228	Kailua	75	US	77	21.39	-157.74	75.2	12.75
229	Balclutha	32	NZ	69	-46.28	169.85	69.59	0.04
230	Gonbad-E Qabus	88	IR	77	37.23	55.37	53.44	10.45
231	Fortuna	0	ES	70	38.18	-1.13	48.2	5.82
232	Kavieng	32	PG	98	-2.57	150.8	85.16	5.86
233	Porbandar	88	IN	72	21.64	69.61	70.99	11.68
234	Jonava	88	LT	91	55.07	24.28	32.0	5.82
235	Tignere	24	CM	39	7.37	12.65	71.71	5.12
236	Gobabis	20	NA	69	-22.45	18.97	75.2	3.36
237	Araouane	12	ML	34	18.9	-3.53	52.99	14.18
238	Hauterive	90	FR	100	46.09	3.45	44.6	2.24
239	Glenwood Springs	1	US	78	39.55	-107.33	35.6	13.87
240	Tiksi	68	RU	81	71.64	128.87	-18.66	3.33
241	Clyde River	90	CA	75	70.47	-68.59	-14.81	8.05
242	Vestmannaeyjar	92	IS	89	63.44	-20.27	41.29	20.56
243	Yaviza	56	PA	80	8.11	-77.73	82.91	3.22
244	Kráir	92	FO	90	61.47	-6.81	48.71	30.96
245	Vanavara	64	RU	82	60.35	102.28	2.95	5.08
246	Kolpashevo	92	RU	90	58.31	82.9	11.41	5.86
247	Samarai	88	PG	98	-10.62	150.67	83.5	9.78
248	Hobart	75	AU	42	-42.88	147.33	68.0	19.46
249	New Norfolk	75	AU	42	-42.78	147.06	68.0	19.46
250	Chinna Salem	88	IN	95	11.64	78.88	68.51	4.07
251	Sept-Iles	5	CA	64	50.2	-66.38	-4.01	4.7
252	Mabaruma	92	GY	85	8.2	-59.78	79.13	7.87
253	Pridneprov’Ye	80	RU	93	54.79	32.05	24.46	6.24
254	Villa Crespo	0	AR	74	-34.61	-58.44	86.0	6.93
255	Jumla	8	NP	49	29.28	82.18	12.62	3.33
256	Luebo	12	CD	98	-5.35	21.42	70.22	2.06
257	Ditchingham	92	GB	93	52.47	1.45	48.2	12.75
258	Price	1	US	50	39.6	-110.81	28.4	6.93
259	Honningsvag	56	NO	100	70.98	25.97	35.03	20.62
260	Vanimo	8	PG	100	-2.67	141.3	83.09	4.23
261	Mosvik	75	NO	86	63.83	10.7	46.4	3.36
262	Mackenzie	90	CA	78	55.34	-123.09	12.2	6.93
263	Guane	0	CU	72	22.2	-84.09	72.83	6.53
264	Te Anau	0	NZ	60	-45.41	167.72	67.21	5.23
265	Nyaunglebin	0	MM	85	17.95	96.73	53.84	3.74
266	Ilulissat	20	GL	43	69.22	-51.1	10.4	16.11
267	Al Khālidīyah	0	SA	34	24.63	46.72	53.6	3.0
268	Caleta Olivia	92	AR	45	-46.43	-67.52	55.42	18.16
269	Chingirlau	88	KZ	90	51.09	54.08	17.03	7.36
270	Roma	0	IT	56	41.89	12.48	48.2	4.7
271	Karratha	0	AU	66	-20.74	116.85	82.6	5.53
272	Aklavik	40	CA	92	68.22	-135.01	15.8	3.36
273	Ahipara	92	NZ	97	-35.17	173.16	67.34	14.92
274	Zurrieq	0	MT	65	35.83	14.47	46.4	8.05
275	Abha	0	SA	18	18.22	42.5	48.2	3.36
276	Ugoofaaru	80	MV	100	5.67	73.0	82.28	15.64
277	Eydhafushi	80	MV	100	5.1	73.07	82.28	15.64
278	Fairbanks	40	US	84	64.84	-147.72	1.4	4.56
279	Ancud	80	CL	66	-41.87	-73.83	52.04	7.25
280	Kuching	75	MY	100	1.56	110.34	75.2	2.24
281	Demba Kunda	68	GM	27	13.24	-14.31	69.32	13.18
282	Namibe	32	AO	100	-15.19	12.15	69.14	11.68
283	Waddan	76	LY	88	29.16	16.14	44.71	11.34
284	Kavaratti	8	IN	100	10.57	72.64	81.61	1.39
285	Tetela De Ocampo	0	MX	41	19.82	-97.8	63.83	0.49
286	Tokur	12	RU	55	53.13	132.9	-20.77	2.33
287	Pavelets	24	RU	92	53.87	39.17	18.47	3.22
288	Mwene-Ditu	80	CD	98	-7.01	23.45	66.31	3.11
289	Vrangel	0	RU	100	42.73	133.08	32.33	12.46
290	Hasaki	20	JP	80	35.73	140.83	35.6	5.82
291	Bilibino	32	RU	79	68.06	166.44	-39.31	1.99
292	Tshikapa	64	CD	98	-6.42	20.79	71.57	2.06
293	Kagoro	0	NG	72	9.67	8.4	64.82	2.73
294	Norrtalje	0	SE	92	59.76	18.7	26.6	6.93
295	Akureyri	0	IS	69	65.68	-18.09	37.4	12.75
296	Phalombe	64	MW	96	-15.81	35.65	68.69	5.08
297	Chiang Rai	90	TH	100	19.9	99.84	48.2	3.0
298	Rock Springs	1	US	49	41.59	-109.2	26.6	14.99
299	Necochea	0	AR	83	-38.55	-58.74	63.47	4.79
300	Meridian	75	US	100	32.36	-88.7	71.6	6.35
301	Fortuna Foothills	75	US	14	32.66	-114.41	62.6	3.36
302	Bathsheba	40	BB	83	13.22	-59.52	78.8	20.8
303	Coihaique	20	CL	70	-45.58	-72.07	46.4	6.93
304	Hithadhoo	0	MV	100	-0.6	73.08	82.06	4.9
305	Butaritari	44	KI	100	3.07	172.79	82.15	18.61
306	Kaniama	92	CD	99	-7.57	24.18	66.17	2.73
307	Jacareacanga	44	BR	99	-6.22	-57.76	74.59	1.72
308	Kautokeino	0	NO	83	69.01	23.04	19.6	6.42
309	Mikhaylovskoye	56	RU	94	43.1	44.64	20.09	0.76
310	Castro	88	CL	74	-42.48	-73.76	50.69	7.58
311	Tarko-Sale	76	RU	88	64.92	77.78	13.52	10.67
312	Nazarovo	92	RU	86	56.01	90.42	8.48	4.07
313	Slave Lake	90	CA	85	55.28	-114.77	15.8	19.46
314	Vamvakou	90	GR	80	39.45	22.34	35.6	11.41
315	Luogangzhen	88	CN	84	31.81	117.24	44.6	4.47
316	Lewiston	90	US	100	46.42	-117.02	30.2	2.55
317	Jinchang	12	CN	57	38.52	102.19	6.64	4.0
318	Geraldton	90	CA	92	49.72	-86.95	15.8	4.7
319	Blackwater	0	AU	47	-23.58	149.07	86.87	7.54
320	Bredasdorp	12	ZA	82	-34.53	20.04	64.4	3.36
321	Jensen Beach	40	US	88	27.25	-80.23	75.2	9.17
322	Vakhtan	56	RU	90	57.97	46.69	20.18	3.33
323	Laurel Lake	1	US	87	39.31	-74.98	50.0	7.09
324	Kahului	20	US	54	20.89	-156.47	78.8	14.99
325	Lakatoro	0	VU	80	-16.11	167.42	82.42	9.1
326	Hamilton	40	BM	68	32.3	-64.78	66.2	12.75
327	Santa Fe	40	EC	67	-0.39	-78.55	59.0	18.34
328	Smolenskaya	80	RU	92	44.79	38.8	30.2	6.71
329	Sechura	12	PE	75	-5.56	-80.82	74.36	14.7
330	Toguchin	92	RU	84	55.24	84.4	11.18	10.45
331	Punta Arenas	40	CL	65	-53.16	-70.91	46.4	26.4
332	Komatsushima	20	JP	81	33.93	134.5	42.8	5.82
333	Kiragawa	20	JP	100	33.37	134.14	37.4	10.29
334	Tual	64	ID	100	-5.67	132.75	83.99	11.68
335	Borovoy	80	RU	89	63.23	52.89	24.37	5.86
336	Kanniyakumari	8	IN	100	8.08	77.57	77.74	23.98
337	Gialo	88	LY	72	29.03	21.55	58.57	14.14
338	Ash Shawāshinah	88	LY	71	29.14	21.3	59.11	15.41
339	Vega De Alatorre	0	MX	72	20.03	-96.65	76.57	4.56
340	San Quintin	75	PH	100	17.54	120.52	69.8	2.24
341	Veraneio Icaraí	40	BR	78	-3.71	-38.6	80.6	11.41
342	Svetlaya	0	RU	100	46.54	138.33	20.14	4.41
343	Dickson	90	US	93	36.08	-87.39	59.0	6.93
344	Gambela	0	ET	75	8.25	34.59	57.26	2.84
345	Genhe	0	CN	52	50.78	121.52	-12.04	4.12
346	Chimore	92	BO	96	-16.98	-65.13	73.15	3.06
347	Provideniya	92	RU	94	64.42	-173.23	34.0	35.43
348	Maceio	75	BR	83	-9.67	-35.74	77.0	5.82
349	Carnarvon	0	ZA	41	-30.97	22.13	55.91	9.04
350	Ukiah	1	US	46	39.15	-123.21	50.0	1.88
351	Tarancon	0	ES	86	40.01	-3.01	33.8	5.82
352	Kundiawa	88	PG	96	-6.02	144.97	62.03	2.1
353	Yulara	0	AU	11	-25.24	130.99	87.8	8.05
354	Rikitea	88	PF	100	-23.12	-134.97	76.75	10.6
355	Daru Rilwan	88	GM	25	13.64	-16.01	71.17	12.91
356	Rawson	68	AR	25	-43.3	-65.11	60.32	21.41
357	Nisab	0	YE	74	14.4	46.47	31.61	2.73
358	Ridgway	90	US	87	41.39	-78.88	48.2	4.7
359	Lorengau	48	PG	95	-2.02	147.27	84.76	4.85
360	Suzhou	80	CN	82	39.73	98.49	10.91	9.89
361	Seoul	75	KR	63	37.57	126.98	37.4	2.39
362	Guerrero Negro	0	MX	42	27.97	-114.04	66.04	7.87
363	Santa Ines	68	BR	94	-3.7	-45.5	74.63	3.62
364	Agapovka	40	RU	65	53.14	59.15	5.0	2.24
365	Charters Towers	48	AU	84	-20.07	146.27	79.0	6.24
366	Gigmoto	80	PH	100	13.78	124.39	79.99	19.62
367	Nyurba	56	RU	45	63.29	118.35	-28.51	3.51
368	Ain Merane	20	DZ	93	36.25	0.85	48.2	3.06
369	Srednekolymsk	64	RU	79	67.46	153.71	-18.21	6.08
370	Kongolo	92	CD	100	-5.39	27.0	68.33	2.51
371	Dali	0	CN	100	25.6	100.24	35.44	2.21
372	Província De Zambézia	44	MZ	91	-16.84	36.99	76.57	4.63
373	Shawnee	90	US	92	35.33	-96.93	32.0	4.7
374	Noumea	20	NC	58	-22.28	166.46	84.2	17.22
375	Sao Miguel Do Araguaia	32	BR	87	-13.28	-50.16	77.65	3.89
376	North Ogden	90	US	47	41.31	-111.96	37.4	8.05
377	Tres Arroyos	0	AR	53	-38.31	-60.23	68.24	7.02
378	Son La	0	VN	86	21.32	103.9	38.72	1.88
379	Durango	90	MX	34	23.99	-104.67	64.4	9.17
380	Adrar	0	DZ	39	27.87	-0.29	44.6	10.29
381	Halifax	75	CA	67	44.65	-63.58	21.2	6.93
382	Hondo	90	US	76	29.35	-99.14	53.6	29.97
383	Curuca	56	BR	95	-0.74	-47.84	82.19	14.85
384	Capitolio	76	BR	95	-20.63	-46.0	66.98	2.77
385	Lichinga	0	MZ	94	-13.3	35.25	68.0	6.93
386	Barbacena	92	BR	90	-21.23	-43.77	67.07	3.06
387	Hermanus	64	ZA	94	-34.42	19.24	54.83	4.07
388	Provinsi Kalimantan Selatan	48	ID	93	-2.54	115.51	76.66	2.84
389	Igbor	56	NG	68	7.38	8.57	81.16	13.35
390	Hualmay	44	PE	77	-11.1	-77.61	68.29	5.12
391	Chiredzi	92	ZW	94	-21.05	31.67	74.09	6.42
392	Bereznik	88	RU	91	62.86	42.71	24.37	4.23
393	Praya	20	ID	78	-8.71	116.27	82.4	3.36
394	Chokurdakh	76	RU	74	70.62	147.9	-2.91	13.13
395	El Zapotal	20	MX	33	16.57	-92.72	91.4	2.06
396	Mount Gambier	76	AU	71	-37.83	140.78	67.21	3.33
397	Tarakan	76	ID	100	3.3	117.63	77.87	4.23
398	Peleduy	48	RU	71	59.63	112.75	-2.73	2.62
399	Tamiahua	8	MX	87	21.28	-97.45	77.06	13.8
400	Antofagasta	75	CL	72	-23.65	-70.4	68.0	14.99
401	Georgetown	40	GY	100	6.8	-58.16	75.2	2.24
402	Sur	0	OM	99	22.57	59.53	70.31	11.16
403	Bartica	40	GY	100	6.41	-58.62	75.2	2.24
404	Maldonado	12	UY	71	-34.91	-54.96	78.41	7.25
405	Cayenne	90	GF	83	4.94	-52.33	80.6	8.05
406	Hartuv	0	IL	45	31.8	34.94	62.6	2.24
407	Tuktoyaktuk	90	CA	92	69.44	-133.03	23.0	4.7
408	Nouadhibou	76	MR	39	20.93	-17.03	64.4	16.11
409	Lufilufi	8	WS	100	-13.87	-171.6	83.09	12.91
410	Along	0	IN	87	28.17	94.8	49.12	1.99
411	Berlevåg	36	NO	100	70.86	29.09	34.04	18.21
412	Yellowknife	20	CA	68	62.45	-114.38	-18.41	5.82
413	Toora-Khem	76	RU	73	52.47	96.11	-2.46	3.0
414	Klaksvik	92	FO	100	62.23	-6.59	44.6	16.11
415	Ambilobe	76	MG	100	-13.19	49.05	70.58	4.0
416	Puerto Escondido	20	MX	74	15.86	-97.07	82.4	6.64
417	Rímac	44	PE	82	-12.06	-77.04	63.11	2.06
418	Mitsamiouli	0	KM	96	-11.38	43.28	82.69	12.84
419	Santa Rosa De Lima	0	SV	52	13.63	-87.89	87.8	3.36
420	Igra	88	RU	86	57.55	53.1	14.96	5.3
421	Mecca	0	SA	73	21.43	39.83	73.4	2.62
422	Mandalgovi	12	MN	62	45.76	106.27	0.79	8.55
423	Coihueco	0	CL	35	-36.63	-71.83	73.4	14.99
424	Bethel	1	US	69	60.79	-161.76	37.4	18.34
425	Bilma	0	NE	44	18.69	12.92	60.14	11.34
426	Owando	32	CG	94	-0.49	15.91	72.11	2.1
427	Khanjarah	92	TR	99	40.67	33.6	32.2	2.39
428	Byron Bay	40	AU	61	-28.65	153.62	82.4	11.41
